"","Age","Gender","Corruption","Severity","Service","sum_AP","n"
"1","0-18","Female","gaussian-noise",1,"AWS",2135.9400990099,2391
"2","0-18","Female","gaussian-noise",1,"Azure",2153.02541254125,2382
"3","0-18","Female","gaussian-noise",1,"GCP",2240.98844884488,2385
"4","0-18","Female","gaussian-noise",2,"AWS",1995.94405940594,2391
"5","0-18","Female","gaussian-noise",2,"Azure",2031.29422442244,2382
"6","0-18","Female","gaussian-noise",2,"GCP",1987.58564356436,2385
"7","0-18","Female","gaussian-noise",3,"AWS",1764.9904290429,2391
"8","0-18","Female","gaussian-noise",3,"Azure",1743.25231023102,2382
"9","0-18","Female","gaussian-noise",3,"GCP",1773.70297029703,2385
"10","0-18","Female","gaussian-noise",4,"AWS",1320.35841584158,2391
"11","0-18","Female","gaussian-noise",4,"Azure",1140.10346534653,2382
"12","0-18","Female","gaussian-noise",4,"GCP",1533.45561056106,2385
"13","0-18","Female","gaussian-noise",5,"AWS",558.214851485148,2391
"14","0-18","Female","gaussian-noise",5,"Azure",402.524752475247,2382
"15","0-18","Female","gaussian-noise",5,"GCP",1018.40346534653,2385
"16","0-18","Female","shot-noise",1,"AWS",2066.85247524752,2391
"17","0-18","Female","shot-noise",1,"Azure",2101.82310231023,2382
"18","0-18","Female","shot-noise",1,"GCP",2092.19059405941,2385
"19","0-18","Female","shot-noise",2,"AWS",1891.85247524752,2391
"20","0-18","Female","shot-noise",2,"Azure",1910.93564356436,2382
"21","0-18","Female","shot-noise",2,"GCP",1838.1198019802,2385
"22","0-18","Female","shot-noise",3,"AWS",1621.29422442244,2391
"23","0-18","Female","shot-noise",3,"Azure",1519.68564356436,2382
"24","0-18","Female","shot-noise",3,"GCP",1638.53250825082,2385
"25","0-18","Female","shot-noise",4,"AWS",1023.07326732673,2391
"26","0-18","Female","shot-noise",4,"Azure",782.057425742574,2382
"27","0-18","Female","shot-noise",4,"GCP",1271.5,2385
"28","0-18","Female","shot-noise",5,"AWS",533.657425742574,2391
"29","0-18","Female","shot-noise",5,"Azure",338.59603960396,2382
"30","0-18","Female","shot-noise",5,"GCP",1001.85643564356,2385
"31","0-18","Female","impulse-noise",1,"AWS",2018.36138613861,2391
"32","0-18","Female","impulse-noise",1,"Azure",2126.04438943894,2382
"33","0-18","Female","impulse-noise",1,"GCP",2272.39785478548,2385
"34","0-18","Female","impulse-noise",2,"AWS",1865.67722772277,2391
"35","0-18","Female","impulse-noise",2,"Azure",1999.07095709571,2382
"36","0-18","Female","impulse-noise",2,"GCP",2166.24257425743,2385
"37","0-18","Female","impulse-noise",3,"AWS",1720.11732673267,2391
"38","0-18","Female","impulse-noise",3,"Azure",1836.47623762376,2382
"39","0-18","Female","impulse-noise",3,"GCP",1991.2,2385
"40","0-18","Female","impulse-noise",4,"AWS",1309.13415841584,2391
"41","0-18","Female","impulse-noise",4,"Azure",1163.57871287129,2382
"42","0-18","Female","impulse-noise",4,"GCP",1551.53168316832,2385
"43","0-18","Female","impulse-noise",5,"AWS",664.093564356436,2391
"44","0-18","Female","impulse-noise",5,"Azure",493.989108910891,2382
"45","0-18","Female","impulse-noise",5,"GCP",1090.30412541254,2385
"46","0-18","Female","defocus-blur",1,"AWS",2199.59405940594,2391
"47","0-18","Female","defocus-blur",1,"Azure",2220.02343234323,2382
"48","0-18","Female","defocus-blur",1,"GCP",2250.92871287129,2385
"49","0-18","Female","defocus-blur",2,"AWS",2109.77838283828,2391
"50","0-18","Female","defocus-blur",2,"Azure",2143.07805280528,2382
"51","0-18","Female","defocus-blur",2,"GCP",2146.8,2385
"52","0-18","Female","defocus-blur",3,"AWS",1890.93910891089,2391
"53","0-18","Female","defocus-blur",3,"Azure",1984.63861386139,2382
"54","0-18","Female","defocus-blur",3,"GCP",1872.48316831683,2385
"55","0-18","Female","defocus-blur",4,"AWS",1670.56683168317,2391
"56","0-18","Female","defocus-blur",4,"Azure",1802.28415841584,2382
"57","0-18","Female","defocus-blur",4,"GCP",1572.4400990099,2385
"58","0-18","Female","defocus-blur",5,"AWS",1443.76353135314,2391
"59","0-18","Female","defocus-blur",5,"Azure",1585.33415841584,2382
"60","0-18","Female","defocus-blur",5,"GCP",1207.61435643564,2385
"61","0-18","Female","glass-blur",1,"AWS",2104.64075907591,2391
"62","0-18","Female","glass-blur",1,"Azure",2142.73085808581,2382
"63","0-18","Female","glass-blur",1,"GCP",2237.98415841584,2385
"64","0-18","Female","glass-blur",2,"AWS",2047.56930693069,2391
"65","0-18","Female","glass-blur",2,"Azure",2113.80396039604,2382
"66","0-18","Female","glass-blur",2,"GCP",2157.80297029703,2385
"67","0-18","Female","glass-blur",3,"AWS",1563.66188118812,2391
"68","0-18","Female","glass-blur",3,"Azure",1726.7702970297,2382
"69","0-18","Female","glass-blur",3,"GCP",1628.44356435644,2385
"70","0-18","Female","glass-blur",4,"AWS",1466.11056105611,2391
"71","0-18","Female","glass-blur",4,"Azure",1677.53102310231,2382
"72","0-18","Female","glass-blur",4,"GCP",1497.68613861386,2385
"73","0-18","Female","glass-blur",5,"AWS",1280.73168316832,2391
"74","0-18","Female","glass-blur",5,"Azure",1499.30742574257,2382
"75","0-18","Female","glass-blur",5,"GCP",1285.41881188119,2385
"76","0-18","Female","motion-blur",1,"AWS",2102.6295379538,2391
"77","0-18","Female","motion-blur",1,"Azure",2119.1797029703,2382
"78","0-18","Female","motion-blur",1,"GCP",2242.17755775578,2385
"79","0-18","Female","motion-blur",2,"AWS",1934.23514851485,2391
"80","0-18","Female","motion-blur",2,"Azure",1935.43498349835,2382
"81","0-18","Female","motion-blur",2,"GCP",2089.79950495049,2385
"82","0-18","Female","motion-blur",3,"AWS",1678.42607260726,2391
"83","0-18","Female","motion-blur",3,"Azure",1669.24801980198,2382
"84","0-18","Female","motion-blur",3,"GCP",1845.94240924092,2385
"85","0-18","Female","motion-blur",4,"AWS",1329.46633663366,2391
"86","0-18","Female","motion-blur",4,"Azure",1301.69455445545,2382
"87","0-18","Female","motion-blur",4,"GCP",1479.62623762376,2385
"88","0-18","Female","motion-blur",5,"AWS",1069.70891089109,2391
"89","0-18","Female","motion-blur",5,"Azure",1032.63564356436,2382
"90","0-18","Female","motion-blur",5,"GCP",1181.63811881188,2385
"91","0-18","Female","zoom-blur",1,"AWS",1913.29950495049,2391
"92","0-18","Female","zoom-blur",1,"Azure",1912.32574257426,2382
"93","0-18","Female","zoom-blur",1,"GCP",2001.25396039604,2385
"94","0-18","Female","zoom-blur",2,"AWS",1714.09323432343,2391
"95","0-18","Female","zoom-blur",2,"Azure",1704.66864686469,2382
"96","0-18","Female","zoom-blur",2,"GCP",1791.43399339934,2385
"97","0-18","Female","zoom-blur",3,"AWS",1611.63514851485,2391
"98","0-18","Female","zoom-blur",3,"Azure",1590.62145214521,2382
"99","0-18","Female","zoom-blur",3,"GCP",1652.79570957096,2385
"100","0-18","Female","zoom-blur",4,"AWS",1439.69092409241,2391
