"","Gender","Age","Corruption","Severity","Service","sum_AP","n"
"1","Predominantly Feminine","Young","gaussian-noise",1,"AWS",1221.80671067107,1370
"2","Predominantly Feminine","Young","gaussian-noise",1,"Azure",1104.22425742574,1293
"3","Predominantly Feminine","Young","gaussian-noise",1,"GCP",1148.61633663366,1271
"4","Predominantly Feminine","Young","gaussian-noise",2,"AWS",1163.41391324847,1370
"5","Predominantly Feminine","Young","gaussian-noise",2,"Azure",1006.53118811881,1293
"6","Predominantly Feminine","Young","gaussian-noise",2,"GCP",1085.16617161716,1271
"7","Predominantly Feminine","Young","gaussian-noise",3,"AWS",1074.3297029703,1370
"8","Predominantly Feminine","Young","gaussian-noise",3,"Azure",863.207425742574,1293
"9","Predominantly Feminine","Young","gaussian-noise",3,"GCP",1002.76567656766,1271
"10","Predominantly Feminine","Young","gaussian-noise",4,"AWS",940.039933993399,1370
"11","Predominantly Feminine","Young","gaussian-noise",4,"Azure",704.264356435643,1293
"12","Predominantly Feminine","Young","gaussian-noise",4,"GCP",885.39801980198,1271
"13","Predominantly Feminine","Young","gaussian-noise",5,"AWS",754.002145214521,1370
"14","Predominantly Feminine","Young","gaussian-noise",5,"Azure",470.513861386139,1293
"15","Predominantly Feminine","Young","gaussian-noise",5,"GCP",661.8,1271
"16","Predominantly Feminine","Young","shot-noise",1,"AWS",1242.02370462046,1370
"17","Predominantly Feminine","Young","shot-noise",1,"Azure",1118.20858085809,1293
"18","Predominantly Feminine","Young","shot-noise",1,"GCP",1155.7998349835,1271
"19","Predominantly Feminine","Young","shot-noise",2,"AWS",1161.45094509451,1370
"20","Predominantly Feminine","Young","shot-noise",2,"Azure",996.989356435643,1293
"21","Predominantly Feminine","Young","shot-noise",2,"GCP",1078.3702970297,1271
"22","Predominantly Feminine","Young","shot-noise",3,"AWS",1081.4795379538,1370
"23","Predominantly Feminine","Young","shot-noise",3,"Azure",875.165346534653,1293
"24","Predominantly Feminine","Young","shot-noise",3,"GCP",1003.63267326733,1271
"25","Predominantly Feminine","Young","shot-noise",4,"AWS",925.269471947195,1370
"26","Predominantly Feminine","Young","shot-noise",4,"Azure",652.544554455445,1293
"27","Predominantly Feminine","Young","shot-noise",4,"GCP",831.861386138614,1271
"28","Predominantly Feminine","Young","shot-noise",5,"AWS",787.209735973597,1370
"29","Predominantly Feminine","Young","shot-noise",5,"Azure",482.449504950495,1293
"30","Predominantly Feminine","Young","shot-noise",5,"GCP",687.210396039604,1271
"31","Predominantly Feminine","Young","impulse-noise",1,"AWS",1191.02247917649,1370
"32","Predominantly Feminine","Young","impulse-noise",1,"Azure",1096.49306930693,1293
"33","Predominantly Feminine","Young","impulse-noise",1,"GCP",1122.66212871287,1271
"34","Predominantly Feminine","Young","impulse-noise",2,"AWS",1121.03083451202,1370
"35","Predominantly Feminine","Young","impulse-noise",2,"Azure",991.49702970297,1293
"36","Predominantly Feminine","Young","impulse-noise",2,"GCP",1062.26683168317,1271
"37","Predominantly Feminine","Young","impulse-noise",3,"AWS",1072.42607260726,1370
"38","Predominantly Feminine","Young","impulse-noise",3,"Azure",892.735643564356,1293
"39","Predominantly Feminine","Young","impulse-noise",3,"GCP",1019.5801980198,1271
"40","Predominantly Feminine","Young","impulse-noise",4,"AWS",936.532425742574,1370
"41","Predominantly Feminine","Young","impulse-noise",4,"Azure",701.271287128713,1293
"42","Predominantly Feminine","Young","impulse-noise",4,"GCP",873.966089108911,1271
