"","Skin.Type","Gender","Age","Lighting","Corruption","Severity","Service","sum_AP","n"
"61","Lighter","Feminine","19-45","Bright","glass-blur",1,"AWS",1357,1357
"62","Lighter","Feminine","19-45","Bright","glass-blur",1,"Azure",1354.67656765677,1357
"63","Lighter","Feminine","19-45","Bright","glass-blur",1,"GCP",1351.42574257426,1353
"64","Lighter","Feminine","19-45","Bright","glass-blur",2,"AWS",1357,1357
"65","Lighter","Feminine","19-45","Bright","glass-blur",2,"Azure",1355.34488448845,1357
"66","Lighter","Feminine","19-45","Bright","glass-blur",2,"GCP",1350.43564356436,1353
"67","Lighter","Feminine","19-45","Bright","glass-blur",3,"AWS",1356.66336633663,1357
"68","Lighter","Feminine","19-45","Bright","glass-blur",3,"Azure",1352.69141914191,1357
"69","Lighter","Feminine","19-45","Bright","glass-blur",3,"GCP",1350.26402640264,1353
"70","Lighter","Feminine","19-45","Bright","glass-blur",4,"AWS",1356.50495049505,1357
"71","Lighter","Feminine","19-45","Bright","glass-blur",4,"Azure",1352.69141914191,1357
"72","Lighter","Feminine","19-45","Bright","glass-blur",4,"GCP",1349.76237623762,1353
"73","Lighter","Feminine","19-45","Bright","glass-blur",5,"AWS",1356.16831683168,1357
"74","Lighter","Feminine","19-45","Bright","glass-blur",5,"Azure",1350.03135313531,1357
"75","Lighter","Feminine","19-45","Bright","glass-blur",5,"GCP",1348.93069306931,1353
"76","Lighter","Feminine","19-45","Bright","motion-blur",1,"AWS",1356.66336633663,1357
"77","Lighter","Feminine","19-45","Bright","motion-blur",1,"Azure",1352.70297029703,1357
"78","Lighter","Feminine","19-45","Bright","motion-blur",1,"GCP",1351.0099009901,1353
"79","Lighter","Feminine","19-45","Bright","motion-blur",2,"AWS",1355.83168316832,1357
"80","Lighter","Feminine","19-45","Bright","motion-blur",2,"Azure",1345.87623762376,1357
"81","Lighter","Feminine","19-45","Bright","motion-blur",2,"GCP",1347.76237623762,1353
"82","Lighter","Feminine","19-45","Bright","motion-blur",3,"AWS",1354.25247524752,1357
"83","Lighter","Feminine","19-45","Bright","motion-blur",3,"Azure",1340.23102310231,1357
"84","Lighter","Feminine","19-45","Bright","motion-blur",3,"GCP",1346.77227722772,1353
"85","Lighter","Feminine","19-45","Bright","motion-blur",4,"AWS",1335.62871287129,1357
"86","Lighter","Feminine","19-45","Bright","motion-blur",4,"Azure",1326.21287128713,1357
"87","Lighter","Feminine","19-45","Bright","motion-blur",4,"GCP",1334.9900990099,1353
"88","Lighter","Feminine","19-45","Bright","motion-blur",5,"AWS",1311.16336633663,1357
"89","Lighter","Feminine","19-45","Bright","motion-blur",5,"Azure",1290.75412541254,1357
"90","Lighter","Feminine","19-45","Bright","motion-blur",5,"GCP",1328.94554455446,1353
"91","Lighter","Feminine","19-45","Bright","zoom-blur",1,"AWS",554.079207920792,1357
"92","Lighter","Feminine","19-45","Bright","zoom-blur",1,"Azure",397.871287128713,1357
"93","Lighter","Feminine","19-45","Bright","zoom-blur",1,"GCP",721.688118811881,1353
"94","Lighter","Feminine","19-45","Bright","zoom-blur",2,"AWS",252.668316831683,1357
"95","Lighter","Feminine","19-45","Bright","zoom-blur",2,"Azure",147.351485148515,1357
"96","Lighter","Feminine","19-45","Bright","zoom-blur",2,"GCP",383.851485148515,1353
"97","Lighter","Feminine","19-45","Bright","zoom-blur",3,"AWS",378.849834983498,1357
"98","Lighter","Feminine","19-45","Bright","zoom-blur",3,"Azure",301.30198019802,1357
