"","Gender","Age","Corruption","Severity","Service","sum_AP","n"
"1","Female","0-2","gaussian-noise",1,"AWS",416.661881188119,684
"2","Female","0-2","gaussian-noise",1,"Azure",549.035148514851,684
"3","Female","0-2","gaussian-noise",1,"GCP",668.509900990099,682
"4","Female","0-2","gaussian-noise",2,"AWS",328.018811881188,684
"5","Female","0-2","gaussian-noise",2,"Azure",454.828712871287,684
"6","Female","0-2","gaussian-noise",2,"GCP",638.828712871287,682
"7","Female","0-2","gaussian-noise",3,"AWS",195.336138613861,684
"8","Female","0-2","gaussian-noise",3,"Azure",266.049504950495,684
"9","Female","0-2","gaussian-noise",3,"GCP",607.047524752475,682
"10","Female","0-2","gaussian-noise",4,"AWS",82.6633663366336,684
"11","Female","0-2","gaussian-noise",4,"Azure",96.859405940594,684
"12","Female","0-2","gaussian-noise",4,"GCP",525.69900990099,682
"13","Female","0-2","gaussian-noise",5,"AWS",14.1019801980198,684
"14","Female","0-2","gaussian-noise",5,"Azure",14.0039603960396,684
"15","Female","0-2","gaussian-noise",5,"GCP",395.130693069307,682
"16","Female","0-2","shot-noise",1,"AWS",398.808580858086,684
"17","Female","0-2","shot-noise",1,"Azure",545.59504950495,684
"18","Female","0-2","shot-noise",1,"GCP",666.59603960396,682
"19","Female","0-2","shot-noise",2,"AWS",307.810396039604,684
"20","Female","0-2","shot-noise",2,"Azure",420.953465346535,684
"21","Female","0-2","shot-noise",2,"GCP",636.99702970297,682
"22","Female","0-2","shot-noise",3,"AWS",185.706930693069,684
"23","Female","0-2","shot-noise",3,"Azure",219.642574257426,684
"24","Female","0-2","shot-noise",3,"GCP",596.781188118812,682
"25","Female","0-2","shot-noise",4,"AWS",55.9128712871287,684
"26","Female","0-2","shot-noise",4,"Azure",54.8039603960396,684
"27","Female","0-2","shot-noise",4,"GCP",503.174752475247,682
"28","Female","0-2","shot-noise",5,"AWS",18.8009900990099,684
"29","Female","0-2","shot-noise",5,"Azure",15,684
"30","Female","0-2","shot-noise",5,"GCP",431.35297029703,682
"31","Female","0-2","impulse-noise",1,"AWS",255.109900990099,684
"32","Female","0-2","impulse-noise",1,"Azure",500.770297029703,684
"33","Female","0-2","impulse-noise",1,"GCP",660.337623762376,682
"34","Female","0-2","impulse-noise",2,"AWS",261.160891089109,684
"35","Female","0-2","impulse-noise",2,"Azure",428.521782178218,684
"36","Female","0-2","impulse-noise",2,"GCP",634.680198019802,682
"37","Female","0-2","impulse-noise",3,"AWS",223.879207920792,684
"38","Female","0-2","impulse-noise",3,"Azure",354.727722772277,684
"39","Female","0-2","impulse-noise",3,"GCP",613.69801980198,682
"40","Female","0-2","impulse-noise",4,"AWS",118.830693069307,684
"41","Female","0-2","impulse-noise",4,"Azure",118.471287128713,684
"42","Female","0-2","impulse-noise",4,"GCP",538.266336633663,682
"43","Female","0-2","impulse-noise",5,"AWS",29.7158415841584,684
"44","Female","0-2","impulse-noise",5,"Azure",22.2039603960396,684
"45","Female","0-2","impulse-noise",5,"GCP",438.515841584158,682
"46","Female","0-2","defocus-blur",1,"AWS",504.798349834983,684
"47","Female","0-2","defocus-blur",1,"Azure",636.094554455445,684
"48","Female","0-2","defocus-blur",1,"GCP",676.579207920792,682
"49","Female","0-2","defocus-blur",2,"AWS",481.457425742574,684
"50","Female","0-2","defocus-blur",2,"Azure",621.853465346535,684
"51","Female","0-2","defocus-blur",2,"GCP",674.580198019802,682
"52","Female","0-2","defocus-blur",3,"AWS",450.560396039604,684
"53","Female","0-2","defocus-blur",3,"Azure",594.163366336634,684
"54","Female","0-2","defocus-blur",3,"GCP",663.079207920792,682
"55","Female","0-2","defocus-blur",4,"AWS",418.322277227723,684
"56","Female","0-2","defocus-blur",4,"Azure",563.563861386139,684
"57","Female","0-2","defocus-blur",4,"GCP",642.116831683168,682
"58","Female","0-2","defocus-blur",5,"AWS",370.402475247525,684
"59","Female","0-2","defocus-blur",5,"Azure",537.090099009901,684
"60","Female","0-2","defocus-blur",5,"GCP",593.823762376237,682
"61","Female","0-2","glass-blur",1,"AWS",480.717656765677,684
"62","Female","0-2","glass-blur",1,"Azure",631.371782178218,684
"63","Female","0-2","glass-blur",1,"GCP",676.575247524752,682
"64","Female","0-2","glass-blur",2,"AWS",459.578712871287,684
"65","Female","0-2","glass-blur",2,"Azure",618.042079207921,684
"66","Female","0-2","glass-blur",2,"GCP",674.85198019802,682
"67","Female","0-2","glass-blur",3,"AWS",408.534653465346,684
"68","Female","0-2","glass-blur",3,"Azure",566.8,684
