"","Age","Gender","Corruption","Severity","Service","sum_AP","n"
"1","0-18","Female","gaussian-noise",1,"AWS",2135.9400990099,2391
"2","0-18","Female","gaussian-noise",1,"Azure",2153.02541254125,2382
"3","0-18","Female","gaussian-noise",1,"GCP",2240.98844884488,2385
"4","0-18","Female","gaussian-noise",1,"MogFace",2083.77896039604,2312
"5","0-18","Female","gaussian-noise",1,"TinaFace",1734.22524752475,2258
"6","0-18","Female","gaussian-noise",1,"Yolov5",2067.27453559642,2391
"7","0-18","Female","gaussian-noise",2,"AWS",1995.94405940594,2391
"8","0-18","Female","gaussian-noise",2,"Azure",2031.29422442244,2382
"9","0-18","Female","gaussian-noise",2,"GCP",1987.58564356436,2385
"10","0-18","Female","gaussian-noise",2,"MogFace",1943.45379537954,2312
"11","0-18","Female","gaussian-noise",2,"TinaFace",1003.40313531353,2258
"12","0-18","Female","gaussian-noise",2,"Yolov5",1826.31848184818,2391
"13","0-18","Female","gaussian-noise",3,"AWS",1764.9904290429,2391
"14","0-18","Female","gaussian-noise",3,"Azure",1743.25231023102,2382
"15","0-18","Female","gaussian-noise",3,"GCP",1773.70297029703,2385
"16","0-18","Female","gaussian-noise",3,"MogFace",1750.98630363036,2312
"17","0-18","Female","gaussian-noise",3,"TinaFace",238.177722772277,2258
"18","0-18","Female","gaussian-noise",3,"Yolov5",1059.87326732673,2391
"19","0-18","Female","gaussian-noise",4,"AWS",1320.35841584158,2391
"20","0-18","Female","gaussian-noise",4,"Azure",1140.10346534653,2382
"21","0-18","Female","gaussian-noise",4,"GCP",1533.45561056106,2385
"22","0-18","Female","gaussian-noise",4,"MogFace",1487.18316831683,2312
"23","0-18","Female","gaussian-noise",4,"TinaFace",15.5,2258
"24","0-18","Female","gaussian-noise",4,"Yolov5",323.476732673267,2391
"25","0-18","Female","gaussian-noise",5,"AWS",558.214851485148,2391
"26","0-18","Female","gaussian-noise",5,"Azure",402.524752475247,2382
"27","0-18","Female","gaussian-noise",5,"GCP",1018.40346534653,2385
"28","0-18","Female","gaussian-noise",5,"MogFace",993.960561056105,2312
"29","0-18","Female","gaussian-noise",5,"TinaFace",0,2258
"30","0-18","Female","gaussian-noise",5,"Yolov5",27.1118811881188,2391
"31","0-18","Female","shot-noise",1,"AWS",2066.85247524752,2391
"32","0-18","Female","shot-noise",1,"Azure",2101.82310231023,2382
"33","0-18","Female","shot-noise",1,"GCP",2092.19059405941,2385
"34","0-18","Female","shot-noise",1,"MogFace",2039.79397689769,2312
"35","0-18","Female","shot-noise",1,"TinaFace",1576.66105610561,2258
"36","0-18","Female","shot-noise",1,"Yolov5",2011.52862564828,2391
"37","0-18","Female","shot-noise",2,"AWS",1891.85247524752,2391
"38","0-18","Female","shot-noise",2,"Azure",1910.93564356436,2382
"39","0-18","Female","shot-noise",2,"GCP",1838.1198019802,2385
"40","0-18","Female","shot-noise",2,"MogFace",1866.67772277228,2312
"41","0-18","Female","shot-noise",2,"TinaFace",695.607425742574,2258
"42","0-18","Female","shot-noise",2,"Yolov5",1596.69178217822,2391
"43","0-18","Female","shot-noise",3,"AWS",1621.29422442244,2391
"44","0-18","Female","shot-noise",3,"Azure",1519.68564356436,2382
"45","0-18","Female","shot-noise",3,"GCP",1638.53250825082,2385
"46","0-18","Female","shot-noise",3,"MogFace",1680.88564356436,2312
"47","0-18","Female","shot-noise",3,"TinaFace",134.473267326733,2258
"48","0-18","Female","shot-noise",3,"Yolov5",851.547359735973,2391
"49","0-18","Female","shot-noise",4,"AWS",1023.07326732673,2391
"50","0-18","Female","shot-noise",4,"Azure",782.057425742574,2382
"51","0-18","Female","shot-noise",4,"GCP",1271.5,2385
"52","0-18","Female","shot-noise",4,"MogFace",1299.64702970297,2312
"53","0-18","Female","shot-noise",4,"TinaFace",5.1,2258
"54","0-18","Female","shot-noise",4,"Yolov5",169.461386138614,2391
"55","0-18","Female","shot-noise",5,"AWS",533.657425742574,2391
"56","0-18","Female","shot-noise",5,"Azure",338.59603960396,2382
"57","0-18","Female","shot-noise",5,"GCP",1001.85643564356,2385
"58","0-18","Female","shot-noise",5,"MogFace",984.886138613861,2312
"59","0-18","Female","shot-noise",5,"TinaFace",0,2258
"60","0-18","Female","shot-noise",5,"Yolov5",33.3118811881188,2391
"61","0-18","Female","impulse-noise",1,"AWS",2018.36138613861,2391
"62","0-18","Female","impulse-noise",1,"Azure",2126.04438943894,2382
"63","0-18","Female","impulse-noise",1,"GCP",2272.39785478548,2385
"64","0-18","Female","impulse-noise",1,"MogFace",2000.27693069307,2312
"65","0-18","Female","impulse-noise",1,"TinaFace",881.629207920792,2258
"66","0-18","Female","impulse-noise",1,"Yolov5",1996.52028052805,2391
"67","0-18","Female","impulse-noise",2,"AWS",1865.67722772277,2391
"68","0-18","Female","impulse-noise",2,"Azure",1999.07095709571,2382
"69","0-18","Female","impulse-noise",2,"GCP",2166.24257425743,2385
"70","0-18","Female","impulse-noise",2,"MogFace",1826.22524752475,2312
"71","0-18","Female","impulse-noise",2,"TinaFace",347.480198019802,2258
"72","0-18","Female","impulse-noise",2,"Yolov5",1654.30891089109,2391
"73","0-18","Female","impulse-noise",3,"AWS",1720.11732673267,2391
"74","0-18","Female","impulse-noise",3,"Azure",1836.47623762376,2382
"75","0-18","Female","impulse-noise",3,"GCP",1991.2,2385
"76","0-18","Female","impulse-noise",3,"MogFace",1714.21419141914,2312
"77","0-18","Female","impulse-noise",3,"TinaFace",149.250495049505,2258
"78","0-18","Female","impulse-noise",3,"Yolov5",1140.45363036304,2391
"79","0-18","Female","impulse-noise",4,"AWS",1309.13415841584,2391
"80","0-18","Female","impulse-noise",4,"Azure",1163.57871287129,2382
"81","0-18","Female","impulse-noise",4,"GCP",1551.53168316832,2385
"82","0-18","Female","impulse-noise",4,"MogFace",1444.67689768977,2312
"83","0-18","Female","impulse-noise",4,"TinaFace",5.3,2258
"84","0-18","Female","impulse-noise",4,"Yolov5",285.270792079208,2391
"85","0-18","Female","impulse-noise",5,"AWS",664.093564356436,2391
"86","0-18","Female","impulse-noise",5,"Azure",493.989108910891,2382
"87","0-18","Female","impulse-noise",5,"GCP",1090.30412541254,2385
"88","0-18","Female","impulse-noise",5,"MogFace",1017.11188118812,2312
"89","0-18","Female","impulse-noise",5,"TinaFace",0,2258
"90","0-18","Female","impulse-noise",5,"Yolov5",26.7,2391
"91","0-18","Female","defocus-blur",1,"AWS",2199.59405940594,2391
"92","0-18","Female","defocus-blur",1,"Azure",2220.02343234323,2382
"93","0-18","Female","defocus-blur",1,"GCP",2250.92871287129,2385
"94","0-18","Female","defocus-blur",1,"MogFace",2119.50231023102,2312
"95","0-18","Female","defocus-blur",1,"TinaFace",2019.53877887789,2258
"96","0-18","Female","defocus-blur",1,"Yolov5",2119.49266855257,2391
"97","0-18","Female","defocus-blur",2,"AWS",2109.77838283828,2391
"98","0-18","Female","defocus-blur",2,"Azure",2143.07805280528,2382
