"","Gender","Age","Corruption","Severity","Service","sum_AP","n"
"68","Predominantly Feminine","Young","impulse-noise",2,"Azure",991.49702970297,1293
"69","Predominantly Feminine","Young","impulse-noise",2,"GCP",1062.26683168317,1271
"70","Predominantly Feminine","Young","impulse-noise",2,"MogFace",914.373712871287,1394
"71","Predominantly Feminine","Young","impulse-noise",2,"TinaFace",843.390198019802,1347
"72","Predominantly Feminine","Young","impulse-noise",2,"Yolov5",1009.67759596327,1468
"73","Predominantly Feminine","Young","impulse-noise",3,"AWS",1072.42607260726,1370
"74","Predominantly Feminine","Young","impulse-noise",3,"Azure",892.735643564356,1293
"75","Predominantly Feminine","Young","impulse-noise",3,"GCP",1019.5801980198,1271
"76","Predominantly Feminine","Young","impulse-noise",3,"MogFace",784.767821782178,1394
"77","Predominantly Feminine","Young","impulse-noise",3,"TinaFace",665.121287128713,1347
"78","Predominantly Feminine","Young","impulse-noise",3,"Yolov5",940.83833547989,1468
"79","Predominantly Feminine","Young","impulse-noise",4,"AWS",936.532425742574,1370
"80","Predominantly Feminine","Young","impulse-noise",4,"Azure",701.271287128713,1293
"81","Predominantly Feminine","Young","impulse-noise",4,"GCP",873.966089108911,1271
"82","Predominantly Feminine","Young","impulse-noise",4,"MogFace",543.467326732673,1394
"83","Predominantly Feminine","Young","impulse-noise",4,"TinaFace",303.110396039604,1347
"84","Predominantly Feminine","Young","impulse-noise",4,"Yolov5",769.441737173717,1468
"85","Predominantly Feminine","Young","impulse-noise",5,"AWS",772.174917491749,1370
"86","Predominantly Feminine","Young","impulse-noise",5,"Azure",485.487623762376,1293
"87","Predominantly Feminine","Young","impulse-noise",5,"GCP",673.244224422442,1271
"88","Predominantly Feminine","Young","impulse-noise",5,"MogFace",275.308415841584,1394
"89","Predominantly Feminine","Young","impulse-noise",5,"TinaFace",57.2044554455445,1347
"90","Predominantly Feminine","Young","impulse-noise",5,"Yolov5",505.437805280528,1468
"91","Predominantly Feminine","Young","defocus-blur",1,"AWS",1254.99132838284,1370
"92","Predominantly Feminine","Young","defocus-blur",1,"Azure",1190.45683168317,1293
"93","Predominantly Feminine","Young","defocus-blur",1,"GCP",1146.68564356436,1271
"94","Predominantly Feminine","Young","defocus-blur",1,"MogFace",1235.7556164545,1394
"95","Predominantly Feminine","Young","defocus-blur",1,"TinaFace",1185.3840341177,1347
"96","Predominantly Feminine","Young","defocus-blur",1,"Yolov5",1187.46699874574,1468
"97","Predominantly Feminine","Young","defocus-blur",2,"AWS",1208.46412069778,1370
"98","Predominantly Feminine","Young","defocus-blur",2,"Azure",1143.82264026403,1293
"99","Predominantly Feminine","Young","defocus-blur",2,"GCP",1072.33910891089,1271
"100","Predominantly Feminine","Young","defocus-blur",2,"MogFace",1193.78125237524,1394
"101","Predominantly Feminine","Young","defocus-blur",2,"TinaFace",1134.64306930693,1347
"102","Predominantly Feminine","Young","defocus-blur",2,"Yolov5",1139.35157910463,1468
"103","Predominantly Feminine","Young","defocus-blur",3,"AWS",1120.26386138614,1370
"104","Predominantly Feminine","Young","defocus-blur",3,"Azure",1050.28135313531,1293
"105","Predominantly Feminine","Young","defocus-blur",3,"GCP",956.406435643564,1271
