"","SkinType","Gender","Age","Lighting","Corruption","Severity","Service","sum_AP","n"
"60","Lighter","Feminine","19-45","Bright","shot-noise",5,"Yolov5",1.63415841584158,1358
"61","Lighter","Feminine","19-45","Bright","impulse-noise",1,"AWS",1330.98861386139,1357
"62","Lighter","Feminine","19-45","Bright","impulse-noise",1,"Azure",1291.80198019802,1357
"63","Lighter","Feminine","19-45","Bright","impulse-noise",1,"GCP",1323.61881188119,1353
"64","Lighter","Feminine","19-45","Bright","impulse-noise",1,"MogFace",1246.45148514851,1358
"65","Lighter","Feminine","19-45","Bright","impulse-noise",1,"TinaFace",1325.92277227723,1358
"66","Lighter","Feminine","19-45","Bright","impulse-noise",1,"Yolov5",1174.87673267327,1358
"67","Lighter","Feminine","19-45","Bright","impulse-noise",2,"AWS",1308.08564356436,1357
"68","Lighter","Feminine","19-45","Bright","impulse-noise",2,"Azure",1248.22772277228,1357
"69","Lighter","Feminine","19-45","Bright","impulse-noise",2,"GCP",1302.28267326733,1353
"70","Lighter","Feminine","19-45","Bright","impulse-noise",2,"MogFace",1176.75297029703,1358
"71","Lighter","Feminine","19-45","Bright","impulse-noise",2,"TinaFace",1303.29108910891,1358
"72","Lighter","Feminine","19-45","Bright","impulse-noise",2,"Yolov5",1111.71584158416,1358
"73","Lighter","Feminine","19-45","Bright","impulse-noise",3,"AWS",1289.34752475248,1357
"74","Lighter","Feminine","19-45","Bright","impulse-noise",3,"Azure",1206.72920792079,1357
"75","Lighter","Feminine","19-45","Bright","impulse-noise",3,"GCP",1275.60148514851,1353
"76","Lighter","Feminine","19-45","Bright","impulse-noise",3,"MogFace",1094.10396039604,1358
"77","Lighter","Feminine","19-45","Bright","impulse-noise",3,"TinaFace",1275.72623762376,1358
"78","Lighter","Feminine","19-45","Bright","impulse-noise",3,"Yolov5",1027.00778877888,1358
"79","Lighter","Feminine","19-45","Bright","impulse-noise",4,"AWS",1243.34702970297,1357
"80","Lighter","Feminine","19-45","Bright","impulse-noise",4,"Azure",1030.9301980198,1357
"81","Lighter","Feminine","19-45","Bright","impulse-noise",4,"GCP",1172.48316831683,1353
"82","Lighter","Feminine","19-45","Bright","impulse-noise",4,"MogFace",794.570297029703,1358
"83","Lighter","Feminine","19-45","Bright","impulse-noise",4,"TinaFace",1130.15594059406,1358
"84","Lighter","Feminine","19-45","Bright","impulse-noise",4,"Yolov5",393.109040546912,1358
"85","Lighter","Feminine","19-45","Bright","impulse-noise",5,"AWS",1170.07425742574,1357
"86","Lighter","Feminine","19-45","Bright","impulse-noise",5,"Azure",616.768316831683,1357
"87","Lighter","Feminine","19-45","Bright","impulse-noise",5,"GCP",980.572277227723,1353
"88","Lighter","Feminine","19-45","Bright","impulse-noise",5,"MogFace",381.686633663366,1358
"89","Lighter","Feminine","19-45","Bright","impulse-noise",5,"TinaFace",712.198184818482,1358
"90","Lighter","Feminine","19-45","Bright","impulse-noise",5,"Yolov5",0.2,1358
"91","Lighter","Feminine","19-45","Bright","defocus-blur",1,"AWS",1351.48382838284,1357
"92","Lighter","Feminine","19-45","Bright","defocus-blur",1,"Azure",1343.08415841584,1357
"93","Lighter","Feminine","19-45","Bright","defocus-blur",1,"GCP",1343.73118811881,1353
"94","Lighter","Feminine","19-45","Bright","defocus-blur",1,"MogFace",1353.14950495049,1358
"95","Lighter","Feminine","19-45","Bright","defocus-blur",1,"TinaFace",1339.88316831683,1358
"96","Lighter","Feminine","19-45","Bright","defocus-blur",1,"Yolov5",1307.72830033003,1358
"97","Lighter","Feminine","19-45","Bright","defocus-blur",2,"AWS",1342.93069306931,1357
"98","Lighter","Feminine","19-45","Bright","defocus-blur",2,"Azure",1333.5797029703,1357
"99","Lighter","Feminine","19-45","Bright","defocus-blur",2,"GCP",1338.19405940594,1353
"100","Lighter","Feminine","19-45","Bright","defocus-blur",2,"MogFace",1346.5301980198,1358
"101","Lighter","Feminine","19-45","Bright","defocus-blur",2,"TinaFace",1334.32458745875,1358
"102","Lighter","Feminine","19-45","Bright","defocus-blur",2,"Yolov5",1286.71320132013,1358
"103","Lighter","Feminine","19-45","Bright","defocus-blur",3,"AWS",1307.21138613861,1357
"104","Lighter","Feminine","19-45","Bright","defocus-blur",3,"Azure",1306.20709570957,1357
"105","Lighter","Feminine","19-45","Bright","defocus-blur",3,"GCP",1319.20346534653,1353
"106","Lighter","Feminine","19-45","Bright","defocus-blur",3,"MogFace",1324.7896039604,1358
"107","Lighter","Feminine","19-45","Bright","defocus-blur",3,"TinaFace",1314.77772277228,1358
"108","Lighter","Feminine","19-45","Bright","defocus-blur",3,"Yolov5",1246.84859735974,1358
"109","Lighter","Feminine","19-45","Bright","defocus-blur",4,"AWS",1279.93564356436,1357
"110","Lighter","Feminine","19-45","Bright","defocus-blur",4,"Azure",1276.09876237624,1357
"111","Lighter","Feminine","19-45","Bright","defocus-blur",4,"GCP",1292.46782178218,1353
"112","Lighter","Feminine","19-45","Bright","defocus-blur",4,"MogFace",1300.33613861386,1358
"113","Lighter","Feminine","19-45","Bright","defocus-blur",4,"TinaFace",1296.58564356436,1358
"114","Lighter","Feminine","19-45","Bright","defocus-blur",4,"Yolov5",1213.13580858086,1358
"115","Lighter","Feminine","19-45","Bright","defocus-blur",5,"AWS",1258.3400990099,1357
"116","Lighter","Feminine","19-45","Bright","defocus-blur",5,"Azure",1247.33811881188,1357
"117","Lighter","Feminine","19-45","Bright","defocus-blur",5,"GCP",1256.11237623762,1353
"118","Lighter","Feminine","19-45","Bright","defocus-blur",5,"MogFace",1272.6599009901,1358
"119","Lighter","Feminine","19-45","Bright","defocus-blur",5,"TinaFace",1272.48861386139,1358
"120","Lighter","Feminine","19-45","Bright","defocus-blur",5,"Yolov5",1180.90495049505,1358
"121","Lighter","Feminine","19-45","Bright","glass-blur",1,"AWS",1355.18613861386,1357
"122","Lighter","Feminine","19-45","Bright","glass-blur",1,"Azure",1349.28745874587,1357
"123","Lighter","Feminine","19-45","Bright","glass-blur",1,"GCP",1347.26122112211,1353
"124","Lighter","Feminine","19-45","Bright","glass-blur",1,"MogFace",1357.13564356436,1358
"125","Lighter","Feminine","19-45","Bright","glass-blur",1,"TinaFace",1349.3900990099,1358
"126","Lighter","Feminine","19-45","Bright","glass-blur",1,"Yolov5",1327.63189061763,1358
"127","Lighter","Feminine","19-45","Bright","glass-blur",2,"AWS",1354.15544554455,1357
"128","Lighter","Feminine","19-45","Bright","glass-blur",2,"Azure",1348.61765676568,1357
"129","Lighter","Feminine","19-45","Bright","glass-blur",2,"GCP",1345.12772277228,1353
"130","Lighter","Feminine","19-45","Bright","glass-blur",2,"MogFace",1355.50792079208,1358
"131","Lighter","Feminine","19-45","Bright","glass-blur",2,"TinaFace",1345.80297029703,1358
"132","Lighter","Feminine","19-45","Bright","glass-blur",2,"Yolov5",1319.36767090995,1358
"133","Lighter","Feminine","19-45","Bright","glass-blur",3,"AWS",1353.01435643564,1357
"134","Lighter","Feminine","19-45","Bright","glass-blur",3,"Azure",1345.74636963696,1357
"135","Lighter","Feminine","19-45","Bright","glass-blur",3,"GCP",1345.25924092409,1353
"136","Lighter","Feminine","19-45","Bright","glass-blur",3,"MogFace",1354.68564356436,1358
"137","Lighter","Feminine","19-45","Bright","glass-blur",3,"TinaFace",1344.44900990099,1358
"138","Lighter","Feminine","19-45","Bright","glass-blur",3,"Yolov5",1315.40652050919,1358
"139","Lighter","Feminine","19-45","Bright","glass-blur",4,"AWS",1352.35940594059,1357
"140","Lighter","Feminine","19-45","Bright","glass-blur",4,"Azure",1344.50891089109,1357
"141","Lighter","Feminine","19-45","Bright","glass-blur",4,"GCP",1343.9400990099,1353
"142","Lighter","Feminine","19-45","Bright","glass-blur",4,"MogFace",1353.68564356436,1358
"143","Lighter","Feminine","19-45","Bright","glass-blur",4,"TinaFace",1342.79455445545,1358
"144","Lighter","Feminine","19-45","Bright","glass-blur",4,"Yolov5",1310.07178217822,1358
"145","Lighter","Feminine","19-45","Bright","glass-blur",5,"AWS",1344.64752475247,1357
"146","Lighter","Feminine","19-45","Bright","glass-blur",5,"Azure",1336.55792079208,1357
"147","Lighter","Feminine","19-45","Bright","glass-blur",5,"GCP",1338.70495049505,1353
"148","Lighter","Feminine","19-45","Bright","glass-blur",5,"MogFace",1347.51633663366,1358
"149","Lighter","Feminine","19-45","Bright","glass-blur",5,"TinaFace",1336.00478547855,1358
"150","Lighter","Feminine","19-45","Bright","glass-blur",5,"Yolov5",1288.94240924092,1358
"151","Lighter","Feminine","19-45","Bright","motion-blur",1,"AWS",1313.7600660066,1357
"152","Lighter","Feminine","19-45","Bright","motion-blur",1,"Azure",1311.53613861386,1357
"153","Lighter","Feminine","19-45","Bright","motion-blur",1,"GCP",1336.80940594059,1353
"154","Lighter","Feminine","19-45","Bright","motion-blur",1,"MogFace",1331.32475247525,1358
"155","Lighter","Feminine","19-45","Bright","motion-blur",1,"TinaFace",1319.97821782178,1358
"156","Lighter","Feminine","19-45","Bright","motion-blur",1,"Yolov5",1278.71584158416,1358
"157","Lighter","Feminine","19-45","Bright","motion-blur",2,"AWS",1247.00330033003,1357
"158","Lighter","Feminine","19-45","Bright","motion-blur",2,"Azure",1247.91320132013,1357
"159","Lighter","Feminine","19-45","Bright","motion-blur",2,"GCP",1302.89158415842,1353
"160","Lighter","Feminine","19-45","Bright","motion-blur",2,"MogFace",1268.69653465347,1358
"161","Lighter","Feminine","19-45","Bright","motion-blur",2,"TinaFace",1262.23712871287,1358
"162","Lighter","Feminine","19-45","Bright","motion-blur",2,"Yolov5",1215.37679867987,1358
"163","Lighter","Feminine","19-45","Bright","motion-blur",3,"AWS",1158.35247524752,1357
"164","Lighter","Feminine","19-45","Bright","motion-blur",3,"Azure",1165.83333333333,1357
"165","Lighter","Feminine","19-45","Bright","motion-blur",3,"GCP",1246.47623762376,1353
"166","Lighter","Feminine","19-45","Bright","motion-blur",3,"MogFace",1188.19108910891,1358
"167","Lighter","Feminine","19-45","Bright","motion-blur",3,"TinaFace",1184.37475247525,1358
"168","Lighter","Feminine","19-45","Bright","motion-blur",3,"Yolov5",1134.14702970297,1358
"169","Lighter","Feminine","19-45","Bright","motion-blur",4,"AWS",1077.30907590759,1357
"170","Lighter","Feminine","19-45","Bright","motion-blur",4,"Azure",1076.62310231023,1357
"171","Lighter","Feminine","19-45","Bright","motion-blur",4,"GCP",1169.47821782178,1353
"172","Lighter","Feminine","19-45","Bright","motion-blur",4,"MogFace",1108.0702970297,1358
"173","Lighter","Feminine","19-45","Bright","motion-blur",4,"TinaFace",1109.14785478548,1358
"174","Lighter","Feminine","19-45","Bright","motion-blur",4,"Yolov5",1056.36584158416,1358
"175","Lighter","Feminine","19-45","Bright","motion-blur",5,"AWS",1022.95313531353,1357
"176","Lighter","Feminine","19-45","Bright","motion-blur",5,"Azure",1015.47854785479,1357
"177","Lighter","Feminine","19-45","Bright","motion-blur",5,"GCP",1122.1603960396,1353
"178","Lighter","Feminine","19-45","Bright","motion-blur",5,"MogFace",1056.05693069307,1358
"179","Lighter","Feminine","19-45","Bright","motion-blur",5,"TinaFace",1058.20841584158,1358
"180","Lighter","Feminine","19-45","Bright","motion-blur",5,"Yolov5",1007.7646039604,1358
"181","Lighter","Feminine","19-45","Bright","zoom-blur",1,"AWS",558.878712871287,1357
"182","Lighter","Feminine","19-45","Bright","zoom-blur",1,"Azure",517.491584158416,1357
"183","Lighter","Feminine","19-45","Bright","zoom-blur",1,"GCP",593.936138613861,1353
"184","Lighter","Feminine","19-45","Bright","zoom-blur",1,"MogFace",634.373927392739,1358
"185","Lighter","Feminine","19-45","Bright","zoom-blur",1,"TinaFace",640.689108910891,1358
"186","Lighter","Feminine","19-45","Bright","zoom-blur",1,"Yolov5",675.935313531353,1358
"187","Lighter","Feminine","19-45","Bright","zoom-blur",2,"AWS",324.518811881188,1357
"188","Lighter","Feminine","19-45","Bright","zoom-blur",2,"Azure",294.343234323432,1357
"189","Lighter","Feminine","19-45","Bright","zoom-blur",2,"GCP",377.226732673267,1353
"190","Lighter","Feminine","19-45","Bright","zoom-blur",2,"MogFace",398.199174917492,1358
"191","Lighter","Feminine","19-45","Bright","zoom-blur",2,"TinaFace",374.925247524752,1358
"192","Lighter","Feminine","19-45","Bright","zoom-blur",2,"Yolov5",474.470511551155,1358
"193","Lighter","Feminine","19-45","Bright","zoom-blur",3,"AWS",401.415346534653,1357
"194","Lighter","Feminine","19-45","Bright","zoom-blur",3,"Azure",396.729537953795,1357
"195","Lighter","Feminine","19-45","Bright","zoom-blur",3,"GCP",307.171782178218,1353
"196","Lighter","Feminine","19-45","Bright","zoom-blur",3,"MogFace",528.320132013201,1358
"197","Lighter","Feminine","19-45","Bright","zoom-blur",3,"TinaFace",561.264521452145,1358
"198","Lighter","Feminine","19-45","Bright","zoom-blur",3,"Yolov5",533.212541254125,1358
"199","Lighter","Feminine","19-45","Bright","zoom-blur",4,"AWS",275.905940594059,1357
"200","Lighter","Feminine","19-45","Bright","zoom-blur",4,"Azure",254.764191419142,1357
"201","Lighter","Feminine","19-45","Bright","zoom-blur",4,"GCP",174.377722772277,1353
"202","Lighter","Feminine","19-45","Bright","zoom-blur",4,"MogFace",398.183498349835,1358
"203","Lighter","Feminine","19-45","Bright","zoom-blur",4,"TinaFace",393.525907590759,1358
"204","Lighter","Feminine","19-45","Bright","zoom-blur",4,"Yolov5",409.460264026403,1358
"205","Lighter","Feminine","19-45","Bright","zoom-blur",5,"AWS",444.034653465346,1357
"206","Lighter","Feminine","19-45","Bright","zoom-blur",5,"Azure",412.109075907591,1357
"207","Lighter","Feminine","19-45","Bright","zoom-blur",5,"GCP",164.608910891089,1353
"208","Lighter","Feminine","19-45","Bright","zoom-blur",5,"MogFace",540.937623762376,1358
"209","Lighter","Feminine","19-45","Bright","zoom-blur",5,"TinaFace",533.492079207921,1358
"210","Lighter","Feminine","19-45","Bright","zoom-blur",5,"Yolov5",561.123432343234,1358
"211","Lighter","Feminine","19-45","Bright","snow",1,"AWS",1271.06138613861,1357
"212","Lighter","Feminine","19-45","Bright","snow",1,"Azure",1257.27145214521,1357
"213","Lighter","Feminine","19-45","Bright","snow",1,"GCP",1300.14554455446,1353
"214","Lighter","Feminine","19-45","Bright","snow",1,"MogFace",1205.04702970297,1358
"215","Lighter","Feminine","19-45","Bright","snow",1,"TinaFace",1247.71518151815,1358
"216","Lighter","Feminine","19-45","Bright","snow",1,"Yolov5",1201.97605610561,1358
"217","Lighter","Feminine","19-45","Bright","snow",2,"AWS",1241.25792079208,1357
