"","Age","Gender","Corruption","Severity","Service","sum_AP","n"
"84","0-2","Female","impulse-noise",4,"Yolov5",9.07821782178218,684
"85","0-2","Female","impulse-noise",5,"AWS",29.7158415841584,684
"86","0-2","Female","impulse-noise",5,"Azure",22.2039603960396,684
"87","0-2","Female","impulse-noise",5,"GCP",438.515841584158,682
"88","0-2","Female","impulse-noise",5,"MogFace",85.8158415841584,684
"89","0-2","Female","impulse-noise",5,"TinaFace",0,619
"90","0-2","Female","impulse-noise",5,"Yolov5",0,684
"91","0-2","Female","defocus-blur",1,"AWS",504.798349834983,684
"92","0-2","Female","defocus-blur",1,"Azure",636.094554455445,684
"93","0-2","Female","defocus-blur",1,"GCP",676.579207920792,682
"94","0-2","Female","defocus-blur",1,"MogFace",660.472772277228,684
"95","0-2","Female","defocus-blur",1,"TinaFace",550.364356435643,619
"96","0-2","Female","defocus-blur",1,"Yolov5",569.394290429043,684
"97","0-2","Female","defocus-blur",2,"AWS",481.457425742574,684
"98","0-2","Female","defocus-blur",2,"Azure",621.853465346535,684
"99","0-2","Female","defocus-blur",2,"GCP",674.580198019802,682
"100","0-2","Female","defocus-blur",2,"MogFace",646.371287128713,684
"101","0-2","Female","defocus-blur",2,"TinaFace",516.677227722772,619
"102","0-2","Female","defocus-blur",2,"Yolov5",550.883580858086,684
"103","0-2","Female","defocus-blur",3,"AWS",450.560396039604,684
"104","0-2","Female","defocus-blur",3,"Azure",594.163366336634,684
"105","0-2","Female","defocus-blur",3,"GCP",663.079207920792,682
"106","0-2","Female","defocus-blur",3,"MogFace",620.373762376238,684
"107","0-2","Female","defocus-blur",3,"TinaFace",415.551485148515,619
"108","0-2","Female","defocus-blur",3,"Yolov5",514.638448844884,684
"109","0-2","Female","defocus-blur",4,"AWS",418.322277227723,684
"110","0-2","Female","defocus-blur",4,"Azure",563.563861386139,684
"111","0-2","Female","defocus-blur",4,"GCP",642.116831683168,682
"112","0-2","Female","defocus-blur",4,"MogFace",591.781188118812,684
"113","0-2","Female","defocus-blur",4,"TinaFace",221.321782178218,619
"114","0-2","Female","defocus-blur",4,"Yolov5",482.816254125412,684
"115","0-2","Female","defocus-blur",5,"AWS",370.402475247525,684
"116","0-2","Female","defocus-blur",5,"Azure",537.090099009901,684
"117","0-2","Female","defocus-blur",5,"GCP",593.823762376237,682
"118","0-2","Female","defocus-blur",5,"MogFace",558.236633663366,684
"119","0-2","Female","defocus-blur",5,"TinaFace",38.3,619
"120","0-2","Female","defocus-blur",5,"Yolov5",440.803465346535,684
"121","0-2","Female","glass-blur",1,"AWS",480.717656765677,684
"122","0-2","Female","glass-blur",1,"Azure",631.371782178218,684
"123","0-2","Female","glass-blur",1,"GCP",676.575247524752,682
"124","0-2","Female","glass-blur",1,"MogFace",649.155115511551,684
"125","0-2","Female","glass-blur",1,"TinaFace",541.995544554455,619
"126","0-2","Female","glass-blur",1,"Yolov5",581.99102310231,684
"127","0-2","Female","glass-blur",2,"AWS",459.578712871287,684
"128","0-2","Female","glass-blur",2,"Azure",618.042079207921,684
"129","0-2","Female","glass-blur",2,"GCP",674.85198019802,682
"130","0-2","Female","glass-blur",2,"MogFace",638.940594059406,684
"131","0-2","Female","glass-blur",2,"TinaFace",468.075742574257,619
"132","0-2","Female","glass-blur",2,"Yolov5",557.28399339934,684
"133","0-2","Female","glass-blur",3,"AWS",408.534653465346,684
"134","0-2","Female","glass-blur",3,"Azure",566.8,684
"135","0-2","Female","glass-blur",3,"GCP",644.027722772277,682
"136","0-2","Female","glass-blur",3,"MogFace",573.256930693069,684
"137","0-2","Female","glass-blur",3,"TinaFace",151.464356435644,619
"138","0-2","Female","glass-blur",3,"Yolov5",495.00297029703,684
"139","0-2","Female","glass-blur",4,"AWS",393.183168316832,684
"140","0-2","Female","glass-blur",4,"Azure",553.541089108911,684
"141","0-2","Female","glass-blur",4,"GCP",632.568316831683,682
"142","0-2","Female","glass-blur",4,"MogFace",573.612376237624,684
"143","0-2","Female","glass-blur",4,"TinaFace",84.5069306930693,619
"144","0-2","Female","glass-blur",4,"Yolov5",481.184174917492,684
"145","0-2","Female","glass-blur",5,"AWS",344.851485148515,684
"146","0-2","Female","glass-blur",5,"Azure",529.192079207921,684
"147","0-2","Female","glass-blur",5,"GCP",608.59801980198,682
"148","0-2","Female","glass-blur",5,"MogFace",547.656930693069,684
"149","0-2","Female","glass-blur",5,"TinaFace",44.5,619
"150","0-2","Female","glass-blur",5,"Yolov5",447.017161716172,684
"151","0-2","Female","motion-blur",1,"AWS",500.502475247525,684
"152","0-2","Female","motion-blur",1,"Azure",633.337623762376,684
"153","0-2","Female","motion-blur",1,"GCP",674.000495049505,682
"154","0-2","Female","motion-blur",1,"MogFace",647.606435643564,684
"155","0-2","Female","motion-blur",1,"TinaFace",553.053465346535,619
"156","0-2","Female","motion-blur",1,"Yolov5",575.271617161716,684
"157","0-2","Female","motion-blur",2,"AWS",462.636138613861,684
"158","0-2","Female","motion-blur",2,"Azure",606.666831683168,684
"159","0-2","Female","motion-blur",2,"GCP",661.303465346534,682
"160","0-2","Female","motion-blur",2,"MogFace",610.263861386139,684
"161","0-2","Female","motion-blur",2,"TinaFace",507.929702970297,619
"162","0-2","Female","motion-blur",2,"Yolov5",548.158415841584,684
"163","0-2","Female","motion-blur",3,"AWS",431.502475247525,684
"164","0-2","Female","motion-blur",3,"Azure",567.360396039604,684
"165","0-2","Female","motion-blur",3,"GCP",624.912871287129,682
"166","0-2","Female","motion-blur",3,"MogFace",565.868811881188,684
"167","0-2","Female","motion-blur",3,"TinaFace",413.375247524752,619
"168","0-2","Female","motion-blur",3,"Yolov5",504.818234323432,684
"169","0-2","Female","motion-blur",4,"AWS",401.925742574257,684
"170","0-2","Female","motion-blur",4,"Azure",514.560891089109,684
"171","0-2","Female","motion-blur",4,"GCP",585.504950495049,682
"172","0-2","Female","motion-blur",4,"MogFace",511.107920792079,684
"173","0-2","Female","motion-blur",4,"TinaFace",222.994059405941,619
