"","Skin.Type","Gender","Age","Lighting","Corruption","Severity","Service","sum_AP","n"
"1","Lighter","Feminine","19-45","Bright","gaussian-noise",1,"AWS",1342.21534653465,1357
"2","Lighter","Feminine","19-45","Bright","gaussian-noise",1,"Azure",1295.64455445545,1357
"3","Lighter","Feminine","19-45","Bright","gaussian-noise",1,"GCP",1330.5599009901,1353
"4","Lighter","Feminine","19-45","Bright","gaussian-noise",2,"AWS",1317.33168316832,1357
"5","Lighter","Feminine","19-45","Bright","gaussian-noise",2,"Azure",1254.02920792079,1357
"6","Lighter","Feminine","19-45","Bright","gaussian-noise",2,"GCP",1309.0603960396,1353
"7","Lighter","Feminine","19-45","Bright","gaussian-noise",3,"AWS",1279.30742574257,1357
"8","Lighter","Feminine","19-45","Bright","gaussian-noise",3,"Azure",1171.41089108911,1357
"9","Lighter","Feminine","19-45","Bright","gaussian-noise",3,"GCP",1256.88613861386,1353
"10","Lighter","Feminine","19-45","Bright","gaussian-noise",4,"AWS",1235.15544554455,1357
"11","Lighter","Feminine","19-45","Bright","gaussian-noise",4,"Azure",977.008910891089,1357
"12","Lighter","Feminine","19-45","Bright","gaussian-noise",4,"GCP",1172.11683168317,1353
"13","Lighter","Feminine","19-45","Bright","gaussian-noise",5,"AWS",1159.33828382838,1357
"14","Lighter","Feminine","19-45","Bright","gaussian-noise",5,"Azure",440.455445544554,1357
"15","Lighter","Feminine","19-45","Bright","gaussian-noise",5,"GCP",964.482838283828,1353
"16","Lighter","Feminine","19-45","Bright","shot-noise",1,"AWS",1341.37079207921,1357
"17","Lighter","Feminine","19-45","Bright","shot-noise",1,"Azure",1293.84306930693,1357
"18","Lighter","Feminine","19-45","Bright","shot-noise",1,"GCP",1326.9698019802,1353
"19","Lighter","Feminine","19-45","Bright","shot-noise",2,"AWS",1314.00891089109,1357
"20","Lighter","Feminine","19-45","Bright","shot-noise",2,"Azure",1243.26435643564,1357
"21","Lighter","Feminine","19-45","Bright","shot-noise",2,"GCP",1308.23267326733,1353
"22","Lighter","Feminine","19-45","Bright","shot-noise",3,"AWS",1284.52326732673,1357
"23","Lighter","Feminine","19-45","Bright","shot-noise",3,"Azure",1178.61732673267,1357
"24","Lighter","Feminine","19-45","Bright","shot-noise",3,"GCP",1266.83217821782,1353
"25","Lighter","Feminine","19-45","Bright","shot-noise",4,"AWS",1235.02277227723,1357
"26","Lighter","Feminine","19-45","Bright","shot-noise",4,"Azure",913.60198019802,1357
"27","Lighter","Feminine","19-45","Bright","shot-noise",4,"GCP",1161.14405940594,1353
"28","Lighter","Feminine","19-45","Bright","shot-noise",5,"AWS",1186.71518151815,1357
"29","Lighter","Feminine","19-45","Bright","shot-noise",5,"Azure",513.476237623762,1357
"30","Lighter","Feminine","19-45","Bright","shot-noise",5,"GCP",1034.02904290429,1353
"31","Lighter","Feminine","19-45","Bright","impulse-noise",1,"AWS",1330.98861386139,1357
"32","Lighter","Feminine","19-45","Bright","impulse-noise",1,"Azure",1291.80198019802,1357
"33","Lighter","Feminine","19-45","Bright","impulse-noise",1,"GCP",1323.61881188119,1353
"34","Lighter","Feminine","19-45","Bright","impulse-noise",2,"AWS",1308.08564356436,1357
"35","Lighter","Feminine","19-45","Bright","impulse-noise",2,"Azure",1248.22772277228,1357
"36","Lighter","Feminine","19-45","Bright","impulse-noise",2,"GCP",1302.28267326733,1353
"37","Lighter","Feminine","19-45","Bright","impulse-noise",3,"AWS",1289.34752475248,1357
"38","Lighter","Feminine","19-45","Bright","impulse-noise",3,"Azure",1206.72920792079,1357
"39","Lighter","Feminine","19-45","Bright","impulse-noise",3,"GCP",1275.60148514851,1353
"40","Lighter","Feminine","19-45","Bright","impulse-noise",4,"AWS",1243.34702970297,1357
"41","Lighter","Feminine","19-45","Bright","impulse-noise",4,"Azure",1030.9301980198,1357
"42","Lighter","Feminine","19-45","Bright","impulse-noise",4,"GCP",1172.48316831683,1353
"43","Lighter","Feminine","19-45","Bright","impulse-noise",5,"AWS",1170.07425742574,1357
"44","Lighter","Feminine","19-45","Bright","impulse-noise",5,"Azure",616.768316831683,1357
"45","Lighter","Feminine","19-45","Bright","impulse-noise",5,"GCP",980.572277227723,1353
"46","Lighter","Feminine","19-45","Bright","defocus-blur",1,"AWS",1351.48382838284,1357
"47","Lighter","Feminine","19-45","Bright","defocus-blur",1,"Azure",1343.08415841584,1357
"48","Lighter","Feminine","19-45","Bright","defocus-blur",1,"GCP",1343.73118811881,1353
"49","Lighter","Feminine","19-45","Bright","defocus-blur",2,"AWS",1342.93069306931,1357
"50","Lighter","Feminine","19-45","Bright","defocus-blur",2,"Azure",1333.5797029703,1357
"51","Lighter","Feminine","19-45","Bright","defocus-blur",2,"GCP",1338.19405940594,1353
"52","Lighter","Feminine","19-45","Bright","defocus-blur",3,"AWS",1307.21138613861,1357
"53","Lighter","Feminine","19-45","Bright","defocus-blur",3,"Azure",1306.20709570957,1357
"54","Lighter","Feminine","19-45","Bright","defocus-blur",3,"GCP",1319.20346534653,1353
"55","Lighter","Feminine","19-45","Bright","defocus-blur",4,"AWS",1279.93564356436,1357
"56","Lighter","Feminine","19-45","Bright","defocus-blur",4,"Azure",1276.09876237624,1357
"57","Lighter","Feminine","19-45","Bright","defocus-blur",4,"GCP",1292.46782178218,1353
"58","Lighter","Feminine","19-45","Bright","defocus-blur",5,"AWS",1258.3400990099,1357
"59","Lighter","Feminine","19-45","Bright","defocus-blur",5,"Azure",1247.33811881188,1357
"60","Lighter","Feminine","19-45","Bright","defocus-blur",5,"GCP",1256.11237623762,1353
"61","Lighter","Feminine","19-45","Bright","glass-blur",1,"AWS",1355.18613861386,1357
"62","Lighter","Feminine","19-45","Bright","glass-blur",1,"Azure",1349.28745874587,1357
"63","Lighter","Feminine","19-45","Bright","glass-blur",1,"GCP",1347.26122112211,1353
"64","Lighter","Feminine","19-45","Bright","glass-blur",2,"AWS",1354.15544554455,1357
"65","Lighter","Feminine","19-45","Bright","glass-blur",2,"Azure",1348.61765676568,1357
"66","Lighter","Feminine","19-45","Bright","glass-blur",2,"GCP",1345.12772277228,1353
"67","Lighter","Feminine","19-45","Bright","glass-blur",3,"AWS",1353.01435643564,1357
"68","Lighter","Feminine","19-45","Bright","glass-blur",3,"Azure",1345.74636963696,1357
"69","Lighter","Feminine","19-45","Bright","glass-blur",3,"GCP",1345.25924092409,1353
"70","Lighter","Feminine","19-45","Bright","glass-blur",4,"AWS",1352.35940594059,1357
"71","Lighter","Feminine","19-45","Bright","glass-blur",4,"Azure",1344.50891089109,1357
"72","Lighter","Feminine","19-45","Bright","glass-blur",4,"GCP",1343.9400990099,1353
"73","Lighter","Feminine","19-45","Bright","glass-blur",5,"AWS",1344.64752475247,1357
"74","Lighter","Feminine","19-45","Bright","glass-blur",5,"Azure",1336.55792079208,1357
"75","Lighter","Feminine","19-45","Bright","glass-blur",5,"GCP",1338.70495049505,1353
"76","Lighter","Feminine","19-45","Bright","motion-blur",1,"AWS",1313.7600660066,1357
"77","Lighter","Feminine","19-45","Bright","motion-blur",1,"Azure",1311.53613861386,1357
"78","Lighter","Feminine","19-45","Bright","motion-blur",1,"GCP",1336.80940594059,1353
"79","Lighter","Feminine","19-45","Bright","motion-blur",2,"AWS",1247.00330033003,1357
"80","Lighter","Feminine","19-45","Bright","motion-blur",2,"Azure",1247.91320132013,1357
"81","Lighter","Feminine","19-45","Bright","motion-blur",2,"GCP",1302.89158415842,1353
"82","Lighter","Feminine","19-45","Bright","motion-blur",3,"AWS",1158.35247524752,1357
"83","Lighter","Feminine","19-45","Bright","motion-blur",3,"Azure",1165.83333333333,1357
"84","Lighter","Feminine","19-45","Bright","motion-blur",3,"GCP",1246.47623762376,1353
"85","Lighter","Feminine","19-45","Bright","motion-blur",4,"AWS",1077.30907590759,1357
"86","Lighter","Feminine","19-45","Bright","motion-blur",4,"Azure",1076.62310231023,1357
"87","Lighter","Feminine","19-45","Bright","motion-blur",4,"GCP",1169.47821782178,1353
"88","Lighter","Feminine","19-45","Bright","motion-blur",5,"AWS",1022.95313531353,1357
"89","Lighter","Feminine","19-45","Bright","motion-blur",5,"Azure",1015.47854785479,1357
"90","Lighter","Feminine","19-45","Bright","motion-blur",5,"GCP",1122.1603960396,1353
"91","Lighter","Feminine","19-45","Bright","zoom-blur",1,"AWS",558.878712871287,1357
"92","Lighter","Feminine","19-45","Bright","zoom-blur",1,"Azure",517.491584158416,1357
"93","Lighter","Feminine","19-45","Bright","zoom-blur",1,"GCP",593.936138613861,1353
"94","Lighter","Feminine","19-45","Bright","zoom-blur",2,"AWS",324.518811881188,1357
"95","Lighter","Feminine","19-45","Bright","zoom-blur",2,"Azure",294.343234323432,1357
