"","Gender","Age","Corruption","Severity","Service","sum_AP","n"
"1","Predominantly Feminine","Young","gaussian-noise",1,"AWS",1288.54675467547,1370
"2","Predominantly Feminine","Young","gaussian-noise",1,"Azure",1191.31188118812,1293
"3","Predominantly Feminine","Young","gaussian-noise",1,"GCP",1201.10396039604,1271
"4","Predominantly Feminine","Young","gaussian-noise",2,"AWS",1251.47123998114,1370
"5","Predominantly Feminine","Young","gaussian-noise",2,"Azure",1110.08415841584,1293
"6","Predominantly Feminine","Young","gaussian-noise",2,"GCP",1141.61881188119,1271
"7","Predominantly Feminine","Young","gaussian-noise",3,"AWS",1178.09900990099,1370
"8","Predominantly Feminine","Young","gaussian-noise",3,"Azure",979.925742574257,1293
"9","Predominantly Feminine","Young","gaussian-noise",3,"GCP",1073.62376237624,1271
"10","Predominantly Feminine","Young","gaussian-noise",4,"AWS",1050.10066006601,1370
"11","Predominantly Feminine","Young","gaussian-noise",4,"Azure",815.910891089109,1293
"12","Predominantly Feminine","Young","gaussian-noise",4,"GCP",953.504950495049,1271
"13","Predominantly Feminine","Young","gaussian-noise",5,"AWS",865.321782178218,1370
"14","Predominantly Feminine","Young","gaussian-noise",5,"Azure",562.891089108911,1293
"15","Predominantly Feminine","Young","gaussian-noise",5,"GCP",707.138613861386,1271
"16","Predominantly Feminine","Young","shot-noise",1,"AWS",1308.16625412541,1370
"17","Predominantly Feminine","Young","shot-noise",1,"Azure",1203.84158415842,1293
"18","Predominantly Feminine","Young","shot-noise",1,"GCP",1204.61386138614,1271
"19","Predominantly Feminine","Young","shot-noise",2,"AWS",1242.78802880288,1370
"20","Predominantly Feminine","Young","shot-noise",2,"Azure",1112.29207920792,1293
"21","Predominantly Feminine","Young","shot-noise",2,"GCP",1134.61881188119,1271
"22","Predominantly Feminine","Young","shot-noise",3,"AWS",1185.44059405941,1370
"23","Predominantly Feminine","Young","shot-noise",3,"Azure",1001.16336633663,1293
"24","Predominantly Feminine","Young","shot-noise",3,"GCP",1072.72772277228,1271
"25","Predominantly Feminine","Young","shot-noise",4,"AWS",1037.51485148515,1370
"26","Predominantly Feminine","Young","shot-noise",4,"Azure",763.757425742574,1293
"27","Predominantly Feminine","Young","shot-noise",4,"GCP",901.480198019802,1271
"28","Predominantly Feminine","Young","shot-noise",5,"AWS",891.960396039604,1370
"29","Predominantly Feminine","Young","shot-noise",5,"Azure",566.415841584158,1293
"30","Predominantly Feminine","Young","shot-noise",5,"GCP",748.009900990099,1271
"31","Predominantly Feminine","Young","impulse-noise",1,"AWS",1268.12101210121,1370
"32","Predominantly Feminine","Young","impulse-noise",1,"Azure",1193.18811881188,1293
"33","Predominantly Feminine","Young","impulse-noise",1,"GCP",1164.35148514851,1271
"34","Predominantly Feminine","Young","impulse-noise",2,"AWS",1215.30198019802,1370
"35","Predominantly Feminine","Young","impulse-noise",2,"Azure",1101.77227722772,1293
"36","Predominantly Feminine","Young","impulse-noise",2,"GCP",1124.29702970297,1271
"37","Predominantly Feminine","Young","impulse-noise",3,"AWS",1175.69801980198,1370
"38","Predominantly Feminine","Young","impulse-noise",3,"Azure",1011.42079207921,1293
"39","Predominantly Feminine","Young","impulse-noise",3,"GCP",1083.62376237624,1271
"40","Predominantly Feminine","Young","impulse-noise",4,"AWS",1055.34900990099,1370
"41","Predominantly Feminine","Young","impulse-noise",4,"Azure",817.752475247525,1293
"42","Predominantly Feminine","Young","impulse-noise",4,"GCP",927.945544554455,1271
"43","Predominantly Feminine","Young","impulse-noise",5,"AWS",875.745874587459,1370
