"","Age","Gender","Corruption","Severity","Service","sum_AP","n"
"80","0-18","Female","motion-blur",2,"Azure",2283.26237623762,2382
"81","0-18","Female","motion-blur",2,"GCP",2336.61386138614,2385
"82","0-18","Female","motion-blur",3,"AWS",2080.9801980198,2391
"83","0-18","Female","motion-blur",3,"Azure",2036.91419141914,2382
"84","0-18","Female","motion-blur",3,"GCP",2182.9702970297,2385
"85","0-18","Female","motion-blur",4,"AWS",1611.21782178218,2391
"86","0-18","Female","motion-blur",4,"Azure",1554.44059405941,2382
"87","0-18","Female","motion-blur",4,"GCP",1821.43564356436,2385
"88","0-18","Female","motion-blur",5,"AWS",1213.14851485149,2391
"89","0-18","Female","motion-blur",5,"Azure",1151.31188118812,2382
"90","0-18","Female","motion-blur",5,"GCP",1452.92079207921,2385
"91","0-18","Female","zoom-blur",1,"AWS",2270.89603960396,2391
"92","0-18","Female","zoom-blur",1,"Azure",2280.23927392739,2382
"93","0-18","Female","zoom-blur",1,"GCP",2271.62376237624,2385
"94","0-18","Female","zoom-blur",2,"AWS",2133.8696369637,2391
"95","0-18","Female","zoom-blur",2,"Azure",2097.61716171617,2382
"96","0-18","Female","zoom-blur",2,"GCP",2106.26072607261,2385
"97","0-18","Female","zoom-blur",3,"AWS",2035.59900990099,2391
"98","0-18","Female","zoom-blur",3,"Azure",2025.10231023102,2382
"99","0-18","Female","zoom-blur",3,"GCP",2041.54620462046,2385
"100","0-18","Female","zoom-blur",4,"AWS",1785.95544554455,2391
"101","0-18","Female","zoom-blur",4,"Azure",1746.01650165017,2382
"102","0-18","Female","zoom-blur",4,"GCP",1876.68811881188,2385
"103","0-18","Female","zoom-blur",5,"AWS",1505.35643564356,2391
"104","0-18","Female","zoom-blur",5,"Azure",1442.25412541254,2382
"105","0-18","Female","zoom-blur",5,"GCP",1618.0297029703,2385
"106","0-18","Female","snow",1,"AWS",2348.7103960396,2391
"107","0-18","Female","snow",1,"Azure",2359.24257425743,2382
"108","0-18","Female","snow",1,"GCP",2273.42574257426,2385
"109","0-18","Female","snow",2,"AWS",2252.90429042904,2391
"110","0-18","Female","snow",2,"Azure",2310.9702970297,2382
"111","0-18","Female","snow",2,"GCP",2006.27227722772,2385
"112","0-18","Female","snow",3,"AWS",2270.77557755776,2391
"113","0-18","Female","snow",3,"Azure",2325.30693069307,2382
"114","0-18","Female","snow",3,"GCP",1874.37293729373,2385
"115","0-18","Female","snow",4,"AWS",2196.88118811881,2391
"116","0-18","Female","snow",4,"Azure",2277.20297029703,2382
"117","0-18","Female","snow",4,"GCP",1424.70792079208,2385
"118","0-18","Female","snow",5,"AWS",2189.57425742574,2391
"119","0-18","Female","snow",5,"Azure",2205.28217821782,2382
"120","0-18","Female","snow",5,"GCP",1450.18811881188,2385
"121","0-18","Female","frost",1,"AWS",2352.8102310231,2391
"122","0-18","Female","frost",1,"Azure",2354.58415841584,2382
"123","0-18","Female","frost",1,"GCP",2324.52475247525,2385
"124","0-18","Female","frost",2,"AWS",2236.49834983498,2391
"125","0-18","Female","frost",2,"Azure",2305.78547854785,2382
"126","0-18","Female","frost",2,"GCP",2172.08415841584,2385
"127","0-18","Female","frost",3,"AWS",2091.57260726073,2391
"128","0-18","Female","frost",3,"Azure",2224.96534653465,2382
"129","0-18","Female","frost",3,"GCP",1954.44554455446,2385
"130","0-18","Female","frost",4,"AWS",2032.56435643564,2391
"131","0-18","Female","frost",4,"Azure",2206.9702970297,2382
"132","0-18","Female","frost",4,"GCP",1940.43564356436,2385
"133","0-18","Female","frost",5,"AWS",1883.33663366337,2391
"134","0-18","Female","frost",5,"Azure",2118.47524752475,2382
"135","0-18","Female","frost",5,"GCP",1760.68811881188,2385
"136","0-18","Female","fog",1,"AWS",2370.70627062706,2391
"137","0-18","Female","fog",1,"Azure",2359.90099009901,2382
"138","0-18","Female","fog",1,"GCP",2269.92739273927,2385
"139","0-18","Female","fog",2,"AWS",2367.02310231023,2391
"140","0-18","Female","fog",2,"Azure",2356.74752475248,2382
"141","0-18","Female","fog",2,"GCP",2189.82178217822,2385
"142","0-18","Female","fog",3,"AWS",2362.72359735974,2391
"143","0-18","Female","fog",3,"Azure",2342.76237623762,2382
"144","0-18","Female","fog",3,"GCP",2063.92574257426,2385
"145","0-18","Female","fog",4,"AWS",2351.46864686469,2391
"146","0-18","Female","fog",4,"Azure",2330.7095709571,2382
